Gene Symbol	Output	NSG	WT	IO
Cbx1	-0.17176601330417454	0.5013606775061977	-0.09404618572292738	0.08818026123458376
Cbx2	0.32154365267792967	-0.6011110845136213	0.34919388492637876	0.5854075584553685
Cbx3	-0.24793049417103277	0.22800652752635778	-0.22852116282067791	0.07382925722689872
Cbx3-ps6	-0.572427060458264	0.8987588526837627	-0.45556401725881646	0.47325599928540907
Cbx3-ps7	-0.572427060458264	0.8987588526837627	-0.45556401725881646	0.47325599928540907
Cbx3-ps8	-0.572427060458264	0.8987588526837627	-0.45556401725881646	0.47325599928540907
Cbx4	-0.24240336940401108	0.8551304833909517	-0.3162646915706348	-0.26373262081924004
Cbx5	-0.22247130500188916	0.07904990529151933	0.11894344302448501	0.17009965965346455
Cbx6	0.1872594164766853	-0.20583465098572154	0.09645695162951308	0.05702022483726957
Cbx7	0.2274096082963395	0.2315118406869621	-0.023429081823403197	0.11184776094523154
Cbx8	0.14373093702583503	-0.1989332271479388	0.0476631787574544	-0.18189663877967632
Cdc6	-0.2941303674247493	-0.09666046607790273	0.30172810829796654	0.14828703473860813
Cdc73	0.1528441442575462	0.26663440120296716	-0.5574328236646279	-0.14616782796436967
Cdk1	0.8948995324533643	-0.371623742998203	0.5610461219261914	-0.03214630626233905
Cdk17	0.07246015903375252	0.24539443226962723	0.15511908769022434	0.1607758461561125
Cdk2	0.24775026055018232	0.2629179351781099	-0.20436944887296052	-0.5446509631513613
Cdk5	-0.418347781227088	0.12963008798536305	0.2409605935423177	0.38895172175662074
Cdk7	-0.49949167391441507	0.3543049853816757	0.16744825268356323	0.3815701992836258
